name,age,gender,country,query,output,rating,date,genre
Nick,21,Male,USA,i want to listen to a slow sleepy song,rock.00023.wav,94,1703060457.512189,rock
albert,35,Male,Canada,i want a pop song with good beat,rock.00034.wav,94,1703060931.087558,rock
Anthony,40,Male,Canada,give me a slow paced classical,classical.00096.wav,90,1703061113.504403,classical
Rick,32,Male,USA,give me some party musicc,disco.00051.wav,93,1703061331,disco
Randy,18,Male,Mexico,suprise me with some cool relaxing music,blues.00094.wav,88,1703061523.394297,blues
Riya,22,Female,India,something closer to classical yet still has a beat to it,classical.00096.wav,96,1703061782.534646,classical
Elle,25,Female,UK,i want to listening to something that can lift my mood,blues.00043.wav,90,1703061869.699869,blues
Amy,35,Female,USA,give a good rock music ,metal.00097.wav,91,1703062909.532242,metal
Patricia,23,Female,Brazil,Play me a song for relaxing,disco.94.wav,99,20/11/23,disco
Thomas,22,Male,Japan,I want to listen to something uplifting,rock.10.wav,77,24/11/23,rock
Elizabeth,21,Female,Japan,"""Play a song that matches my joyful mood."",",disco.44.wav,97,16/11/23,disco
Charles,25,Male,Australia,"""I'm feeling nostalgic, play a song from the 90s."",",disco.15.wav,83,21/12/23,disco
Joseph,31,Male,Canada,"""I need a boost, play something energetic."",",pop.08.wav,93,13/11/23,pop
William,31,Male,Australia,"""Something calm for my relaxed evening, please."",",disco.08.wav,62,07/10/23,disco
William,24,Male,Canada,"""Play a love song, I'm feeling romantic."",",rock.72.wav,69,17/12/23,rock
David,27,Male,Mexico,"""I'm sad, play a song that's soothing."",",rock.98.wav,70,10/10/23,rock
Robert,21,Male,Japan,"""It's party time, play the latest hits."",",disco.70.wav,75,27/12/23,disco
David,31,Male,USA,"""I'm studying, play some instrumental music."",",hip-hop.59.wav,94,09/12/23,hip-hop
Sarah,19,Female,France,"""I'm in a thoughtful mood, play something deep."",",disco.72.wav,85,10/11/23,disco
Patricia,32,Female,Mexico,"""Play a song for a sunny day."",",rock.52.wav,76,05/10/23,rock
David,15,Male,USA,"""I need motivation, play something inspiring."",",rock.09.wav,90,01/10/23,rock
Sarah,32,Female,India,"""Play a song for a rainy mood."",",jazz.27.wav,82,29/11/23,jazz
Michael,20,Male,USA,"""It's workout time, play something upbeat."",",hip-hop.57.wav,100,02/11/23,hip-hop
William,24,Male,Germany,"""I'm feeling dreamy, play something ethereal."",",hip-hop.80.wav,87,05/12/23,hip-hop
Linda,18,Female,India,"""Play a song for a cozy night in."",",hip-hop.32.wav,86,21/11/23,hip-hop
Robert,18,Male,Mexico,"""I'm in a celebratory mood, play something festive."",",rock.37.wav,82,27/12/23,rock
Patricia,13,Female,Canada,"""Play a song that's perfect for driving."",",rock.13.wav,94,20/12/23,rock
Mary,13,Female,UK,"""I'm cooking, play something fun and lively."",",pop.77.wav,97,22/11/23,pop
John,23,Male,France,"""Play a song for a quiet morning."",",hip-hop.42.wav,93,02/10/23,hip-hop
Richard,25,Male,Canada,"""I'm feeling adventurous, play something new and exciting."",",disco.21.wav,90,22/11/23,disco
Robert,14,Male,Mexico,"""Play a song for a lazy afternoon."",",hip-hop.33.wav,82,17/11/23,hip-hop
Elizabeth,20,Female,Australia,"""I need a laugh, play something humorous."",",rock.54.wav,62,02/11/23,rock
Elizabeth,17,Female,Australia,"""Play a song that feels like a warm hug."",",rock.47.wav,82,05/12/23,rock
Robert,14,Male,Australia,"""I'm feeling reflective, play something with meaningful lyrics."",",rock.64.wav,55,09/10/23,rock
Michael,15,Male,UK,"""It's a chill night, play some laid-back tunes."",",pop.61.wav,75,07/11/23,pop
Patricia,23,Female,Australia,"""I'm feeling hopeful, play something uplifting."",",rock.65.wav,78,13/11/23,rock
Karen,25,Female,France,"""Play a song for starry nights."",",pop.88.wav,57,19/10/23,pop
Patricia,25,Female,Canada,"""I need concentration, play some ambient music."",",rock.51.wav,71,01/12/23,rock
Thomas,27,Male,Canada,"""Play a song that's perfect for a road trip."",",hip-hop.28.wav,78,24/11/23,hip-hop
Elizabeth,30,Female,Germany,"""I'm in a dancing mood, play something with a great beat."",",pop.95.wav,90,17/11/23,pop
Barbara,29,Female,Germany,"""Play a song for a winter evening."",",disco.45.wav,61,06/10/23,disco
Jennifer,32,Female,France,"""I'm feeling mysterious, play something intriguing."",",reggae.74.wav,96,25/10/23,reggae
Richard,20,Male,India,"""Play a song for a summer vibe."",",rock.58.wav,85,24/12/23,rock
Mary,27,Female,UK,"""I need to unwind, play something relaxing."",",disco.58.wav,85,03/10/23,disco
John,26,Male,Mexico,"""Play a song that's great for a picnic."",",rock.06.wav,75,26/10/23,rock
Joseph,25,Male,Germany,"""I'm feeling blue, play something to cheer me up."",",disco.21.wav,95,05/10/23,disco
Charles,31,Male,Japan,"""Play a song for a romantic dinner."",",hip-hop.98.wav,88,02/12/23,hip-hop
John,29,Male,Australia,"""I'm in a creative mood, play something artistic."",",rock.15.wav,76,22/12/23,rock
John,19,Male,Germany,"""Play a song for quiet contemplation."",",rock.32.wav,58,14/10/23,rock
Richard,29,Male,India,"""I'm feeling energetic, play something fast-paced."",",pop.92.wav,98,28/10/23,pop
